Term_EG	Combined_Score_EG
phosphatidylcholine biosynthetic process (GO:0006656)	7.983105093
"fatty acid elongation, monounsaturated fatty acid (GO:0034625)"	7.920881259
glutamate metabolic process (GO:0006536)	7.900700167
cellular transition metal ion homeostasis (GO:0046916)	7.896316296
sphingolipid metabolic process (GO:0006665)	7.866804063
glycolytic process (GO:0006096)	7.865667673
anion transmembrane transport (GO:0098656)	7.856422529
positive regulation of apoptotic signaling pathway (GO:2001235)	7.804087802
"fatty acid elongation, saturated fatty acid (GO:0019367)"	7.76552041
phosphatidylethanolamine metabolic process (GO:0046337)	7.713631914
"fatty acid elongation, polyunsaturated fatty acid (GO:0034626)"	7.654283856
glycoprotein catabolic process (GO:0006516)	7.464109399
ATP biosynthetic process (GO:0006754)	7.440068094
alpha-amino acid metabolic process (GO:1901605)	7.293946962
protein deglycosylation (GO:0006517)	7.198949973
lipid homeostasis (GO:0055088)	7.128925899
hexose biosynthetic process (GO:0019319)	7.123067766
ceramide biosynthetic process (GO:0046513)	6.942424145
gluconeogenesis (GO:0006094)	6.822363664
ceramide metabolic process (GO:0006672)	6.815283814
membrane lipid metabolic process (GO:0006643)	6.805802915
positive regulation of cell development (GO:0010720)	6.801324307
positive regulation of striated muscle cell differentiation (GO:0051155)	6.738642284
regulation of sarcomere organization (GO:0060297)	6.738597636
fatty acid oxidation (GO:0019395)	6.582643235
monocarboxylic acid catabolic process (GO:0072329)	6.513861035
"energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)"	6.350347051
kynurenine metabolic process (GO:0070189)	6.241911522
positive regulation of sarcomere organization (GO:0060298)	6.188585599
ATP synthesis coupled proton transport (GO:0015986)	6.15465397
heme biosynthetic process (GO:0006783)	6.082017919
positive regulation of post-embryonic development (GO:0048582)	6.081199955
dicarboxylic acid biosynthetic process (GO:0043650)	6.059712434
zinc ion homeostasis (GO:0055069)	6.000816206
muscle contraction (GO:0006936)	5.878263876
cristae formation (GO:0042407)	5.778442239
post-embryonic body morphogenesis (GO:0040032)	5.770996136
transition metal ion homeostasis (GO:0055076)	5.701778409
coenzyme metabolic process (GO:0006732)	5.701594491
glucosylceramide metabolic process (GO:0006678)	5.701252614
pteridine-containing compound biosynthetic process (GO:0042559)	5.535602638
hydrogen peroxide metabolic process (GO:0042743)	5.526713029
cellular response to superoxide (GO:0071451)	5.444866748
cuticle development involved in collagen and cuticulin-based cuticle molting cycle (GO:0042338)	5.438357759
removal of superoxide radicals (GO:0019430)	5.370713969
sodium ion export (GO:0071436)	5.226696948
organonitrogen compound biosynthetic process (GO:1901566)	5.146652841
sodium ion homeostasis (GO:0055078)	5.038203124
hydrogen peroxide catabolic process (GO:0042744)	5.007591083
cellular potassium ion homeostasis (GO:0030007)	5.006481822
sodium ion export from cell (GO:0036376)	5.005161358
peroxisomal part (GO:0044439)	23.18277077
myofibril (GO:0030016)	13.30670046
microbody lumen (GO:0031907)	12.23799692
striated muscle thin filament (GO:0005865)	11.79319492
membrane raft (GO:0045121)	11.5000962
peroxisomal matrix (GO:0005782)	10.97025927
"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) (GO:0005749)"	8.815047566
myosin filament (GO:0032982)	7.893748695
lytic vacuole (GO:0000323)	7.72752248
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	7.55610528
lysosome (GO:0005764)	7.518829266
contractile fiber (GO:0043292)	7.241939471
actomyosin (GO:0042641)	6.406152061
striated muscle myosin thick filament (GO:0005863)	5.784234802
aggresome (GO:0016235)	5.504714262
amphisome (GO:0044753)	5.460829065
peroxisomal membrane (GO:0005778)	5.171968259
heme binding (GO:0020037)	18.77643893
C4-dicarboxylate transmembrane transporter activity (GO:0015556)	18.2135657
metal ion transmembrane transporter activity (GO:0046873)	17.90785706
serine-type endopeptidase inhibitor activity (GO:0004867)	15.00916546
hydrogen ion transmembrane transporter activity (GO:0015078)	13.43459444
ether hydrolase activity (GO:0016803)	12.59397523
carboxypeptidase activity (GO:0004180)	12.57486619
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712)"	12.13181751
steroid hydroxylase activity (GO:0008395)	12.10950093
aspartic-type endopeptidase activity (GO:0004190)	12.00951342
"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)"	11.58640171
"oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)"	11.52633154
tropomyosin binding (GO:0005523)	11.21840462
serine-type exopeptidase activity (GO:0070008)	10.8883367
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)"	10.81203529
serine-type carboxypeptidase activity (GO:0004185)	10.33953368
fatty acid elongase activity (GO:0009922)	10.04243695
N-methyltransferase activity (GO:0008170)	9.817373673
amide transmembrane transporter activity (GO:0042887)	9.412219907
"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)"	9.131597125
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	9.012528903
acyl-CoA dehydrogenase activity (GO:0003995)	8.965849873
1-phosphatidylinositol binding (GO:0005545)	8.946805187
aldehyde-lyase activity (GO:0016832)	8.920030204
C-acyltransferase activity (GO:0016408)	8.897118294
copper ion binding (GO:0005507)	8.720760605
urea transmembrane transporter activity (GO:0015204)	8.704920562
aldehyde dehydrogenase (NAD) activity (GO:0004029)	8.528723205
fatty acid synthase activity (GO:0004312)	8.438799718
"oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)"	8.341273756
3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857)	8.118904378
myosin binding (GO:0017022)	8.064434979
succinate transmembrane transporter activity (GO:0015141)	8.050066695
NADH dehydrogenase activity (GO:0003954)	8.034088905
"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)"	8.025636718
acyl-CoA oxidase activity (GO:0003997)	7.829004147
transaminase activity (GO:0008483)	7.741001429
nucleotidase activity (GO:0008252)	7.724448129
monocarboxylic acid transmembrane transporter activity (GO:0008028)	7.56191718
solute:proton symporter activity (GO:0015295)	7.422642795
secondary active transmembrane transporter activity (GO:0015291)	7.120316689
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	7.05052095
iron ion binding (GO:0005506)	6.934771595
acyl-CoA desaturase activity (GO:0016215)	6.709789789
FAD binding (GO:0071949)	6.680249687
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)"	6.662568317
carboxylic ester hydrolase activity (GO:0052689)	6.621749132
carboxylic acid transmembrane transporter activity (GO:0046943)	6.617104853
stearoyl-CoA 9-desaturase activity (GO:0004768)	6.55418485
metalloaminopeptidase activity (GO:0070006)	6.413049617
metalloexopeptidase activity (GO:0008235)	6.38787736
sugar transmembrane transporter activity (GO:0051119)	6.36877298
aspartic-type peptidase activity (GO:0070001)	6.241504934
carnitine O-acyltransferase activity (GO:0016406)	6.091687595
phosphoric diester hydrolase activity (GO:0008081)	6.059613131
guanosine-diphosphatase activity (GO:0004382)	5.987428452
aminopeptidase activity (GO:0004177)	5.978525772
uridine-diphosphatase activity (GO:0045134)	5.944127152
"transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"	5.917426067
flavin adenine dinucleotide binding (GO:0050660)	5.89121565
ferrous iron binding (GO:0008198)	5.869977857
cysteine-type peptidase activity (GO:0008234)	5.864661896
dipeptidyl-peptidase activity (GO:0008239)	5.779993551
glucuronosyltransferase activity (GO:0015020)	5.743884377
monovalent cation:proton antiporter activity (GO:0005451)	5.66583343
organic anion transmembrane transporter activity (GO:0008514)	5.626637184
glucosidase activity (GO:0015926)	5.594438415
hydro-lyase activity (GO:0016836)	5.586360836
ATPase regulator activity (GO:0060590)	5.468624037
"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662)"	5.464851258
potassium:proton antiporter activity (GO:0015386)	5.398669757
sodium:proton antiporter activity (GO:0015385)	5.365710145
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)"	5.328127763
aldo-keto reductase (NADP) activity (GO:0004033)	5.057674032
hexosaminidase activity (GO:0015929)	5.016928161
